tweet_id,timestamp,source,name,dog_type,ratings,jpg_url,img_num,p1,p1_conf,p2,p2_conf,p3,p3_conf,favorite_count,retweet_count
892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,Tilly,,1.3,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,Pekinese,0.0906465,papillon,0.0689569,33819,6514
891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,Archie,,1.2,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,malamute,0.078253,kelpie,0.0313789,25461,4328
891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,Franklin,,1.2,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,0.555712,English_springer,0.22577,German_short-haired_pointer,0.175219,41048,9774
890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,,,1.3,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,Eskimo_dog,0.17840599999999998,Pembroke,0.0765069,56848,16716
890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,Zoey,,1.3,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.487574,Irish_setter,0.193054,Chesapeake_Bay_retriever,0.118184,28226,4429
890006608113172480,2017-07-26 00:31:25,Twitter for iPhone,Koda,,1.3,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,Pomeranian,0.0138835,chow,0.00816748,31166,7624
889665388333682689,2017-07-25 01:55:32,Twitter for iPhone,,puppo,1.3,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,0.966327,Cardigan,0.0273557,basenji,0.00463323,38818,8538
889638837579907072,2017-07-25 00:10:02,Twitter for iPhone,Ted,,1.2,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_bulldog,0.99165,boxer,0.00212864,Staffordshire_bullterrier,0.00149818,27672,4735
889531135344209921,2017-07-24 17:02:04,Twitter for iPhone,Stuart,puppo,1.3,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden_retriever,0.953442,Labrador_retriever,0.0138341,redbone,0.00795775,15359,2321
889278841981685760,2017-07-24 00:19:32,Twitter for iPhone,Oliver,,1.3,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,whippet,0.626152,borzoi,0.194742,Saluki,0.0273507,25652,5637
888917238123831296,2017-07-23 00:22:39,Twitter for iPhone,Jim,,1.2,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,golden_retriever,0.714719,Tibetan_mastiff,0.120184,Labrador_retriever,0.105506,29611,4709
888804989199671297,2017-07-22 16:56:37,Twitter for iPhone,Zeke,,1.3,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,golden_retriever,0.46976,Labrador_retriever,0.184172,English_setter,0.0734817,26080,4559
888554962724278272,2017-07-22 00:23:06,Twitter for iPhone,Ralphus,,1.3,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian_husky,0.700377,Eskimo_dog,0.166511,malamute,0.111411,20290,3732
888078434458587136,2017-07-20 16:49:33,Twitter for iPhone,Gerald,,1.2,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French_bulldog,0.995026,pug,0.000931908,bull_mastiff,0.000903211,22201,3653
887705289381826560,2017-07-19 16:06:48,Twitter for iPhone,Jeffrey,,1.3,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,basset,0.821664,redbone,0.0875815,Weimaraner,0.026236400000000003,30779,5609
887101392804085760,2017-07-18 00:07:08,Twitter for iPhone,,,1.2,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,Samoyed,0.733942,Eskimo_dog,0.0350295,Staffordshire_bullterrier,0.029704700000000007,31061,6167
886736880519319552,2017-07-16 23:58:41,Twitter for iPhone,Mingus,,1.3,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,kuvasz,0.309706,Great_Pyrenees,0.186136,Dandie_Dinmont,0.08634630000000001,12306,3443
886366144734445568,2017-07-15 23:25:31,Twitter for iPhone,Roscoe,pupper,1.2,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1,French_bulldog,0.999201,Chihuahua,0.000361178,Boston_bull,7.55616e-05,21524,3316
885984800019947520,2017-07-14 22:10:11,Twitter for iPhone,Jimbo,,1.2,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,1,Blenheim_spaniel,0.972494,Shih-Tzu,0.00663012,Bernese_mountain_dog,0.00623915,33382,7097
885528943205470208,2017-07-13 15:58:47,Twitter for iPhone,Maisey,,1.3,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,1,pug,0.369275,Labrador_retriever,0.265835,kuvasz,0.134697,36689,6683
885167619883638784,2017-07-12 16:03:00,Twitter for iPhone,,,1.3,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,4,malamute,0.8124819999999999,Siberian_husky,0.0717125,Eskimo_dog,0.0557697,22367,4556
884925521741709313,2017-07-12 00:01:00,Twitter for iPhone,Earl,,1.2,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,1,Italian_greyhound,0.259916,American_Staffordshire_terrier,0.198451,Staffordshire_bullterrier,0.127725,68152,16439
884876753390489601,2017-07-11 20:47:12,Twitter for iPhone,Lola,,1.3,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,1,chow,0.822103,Norwich_terrier,0.106075,Norfolk_terrier,0.0373485,28514,6096
884562892145688576,2017-07-11 00:00:02,Twitter for iPhone,Kevin,,1.3,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,1,pug,0.5464060000000001,French_bulldog,0.404291,Brabancon_griffon,0.0440019,24765,5100
884162670584377345,2017-07-09 21:29:42,Twitter for iPhone,Yogi,doggo,1.2,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1,German_shepherd,0.707046,malinois,0.199396,Norwegian_elkhound,0.0491476,20771,3128
883838122936631299,2017-07-09 00:00:04,Twitter for iPhone,Noah,,1.2,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,1,Doberman,0.610946,miniature_pinscher,0.299603,kelpie,0.0630203,22349,3586
883482846933004288,2017-07-08 00:28:19,Twitter for iPhone,Bella,,0.5,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,1,golden_retriever,0.943082,Labrador_retriever,0.032409,kuvasz,0.00550072,46860,10407
883360690899218434,2017-07-07 16:22:55,Twitter for iPhone,Grizzwald,floofer,1.3,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,1,chow,0.987997,Tibetan_mastiff,0.00709872,Newfoundland,0.00214033,22986,3825
883117836046086144,2017-07-07 00:17:54,Twitter for iPhone,,,1.3,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,2,golden_retriever,0.949562,Labrador_retriever,0.045947900000000014,kuvasz,0.00247094,37914,6949
882762694511734784,2017-07-06 00:46:41,Twitter for iPhone,Gus,pupper,1.2,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,1,Labrador_retriever,0.85005,Chesapeake_Bay_retriever,0.074257,flat-coated_retriever,0.015579399999999997,28903,5134
882627270321602560,2017-07-05 15:48:34,Twitter for iPhone,Stanley,,1.3,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,1,Pembroke,0.542982,Chihuahua,0.251988,Cardigan,0.107699,28382,6342
